Film_ID,Film_Name,Year,Decade,Role_Type,Film_Type,Career_Phase,Director,Lead_Actress,Co_Actor_Male_Lead,Music_Director,Production_House,Genre_Category,Verdict,Budget_Crores,Estimated_Collection_Crores,Inflation_Adjusted_Collection_2025,Box_Office_OpeningDay_Cr,Language,IMDB_Rating,Duration_Minutes,Release_Month,Number_of_Songs,Awards_Nominations,Character_Name,Notable_Song,Film_Status,Special_Notes
102,Aag Hi Aag,1980,1980s,Lead,Solo,Peak,Vijay Anand,Asha Parekh,Raj Babbar,Madan Mohan,B.R. Films,Family,Super Hit,1.95,176,4400.0,2.93,Hindi,6.7,124,March,6,0,Raj,Dream Girl,Regular,
103,Arjun,1986,1980s,Character Artist,Multi-starrer,Late Peak,B.R. Chopra,Sharmila Tagore,Amitabh Bachchan,Laxmikant-Pyarelal,B.R. Films,Action-Drama,Flop,3.54,50,1250.0,0.83,Hindi,7.5,155,October,8,0,Dharam,Dream Girl,Regular,
104,Jeene Nahi Doonga,1986,1980s,Lead,Solo,Late Peak,Prakash Mehra,Mumtaz,Sanjeev Kumar,S.D. Burman,Rajshri Productions,Family,Flop,1.67,38,950.0,0.63,Hindi,7.6,165,July,7,0,Rakesh,Holi Ke Din,Regular,
105,Aag Ka Gola,1987,1980s,Character Artist,Multi-starrer,Late Peak,Prakash Mehra,Sharmila Tagore,Shatrughan Sinha,Laxmikant-Pyarelal,Rajshri Productions,Comedy,Average,1.37,26,650.0,0.43,Hindi,6.5,161,February,8,0,Shankar,Holi Ke Din,Regular,
106,Tahalka,1984,1980s,Lead,Solo,Peak,Unknown,Asha Parekh,Bobby Deol,Laxmikant-Pyarelal,Sippy Films,Drama,Super Hit,4.47,37,925.0,0.62,Hindi,6.2,168,January,4,0,Vijay,Mehbooba Mehbooba,Regular,
107,Aaj Ka Arjun,1982,1980s,Lead,Solo,Peak,Hrishikesh Mukherjee,Neetu Singh,Jeetendra,Laxmikant-Pyarelal,B.R. Films,Thriller,Average,3.32,123,3075.0,2.05,Hindi,6.9,161,June,7,0,Inspector,Mehbooba Mehbooba,Regular,
108,Kaun Kare Kurbanie,1987,1980s,Lead,Multi-starrer,Late Peak,Prakash Mehra,Asha Parekh,None,Ravi,Unknown,Comedy,Flop,1.54,76,1900.0,1.27,Hindi,7.6,158,September,5,0,Raja,Main Jat Yamla Pagla Deewana,Regular,
109,Aadmi Khilona Hai,1985,1980s,Lead,Solo,Late Peak,Unknown,Mumtaz,Rajesh Khanna,Ravi,Rajshri Productions,Action,Average,2.56,27,675.0,0.45,Hindi,6.1,135,March,6,0,Inspector,Main Jat Yamla Pagla Deewana,Regular,
110,Samraat,1982,1980s,Lead,Solo,Peak,Ramesh Sippy,Jaya Bhaduri,None,Ravi,Prakash Mehra Productions,Comedy,Flop,2.98,124,3100.0,2.07,Hindi,7.0,152,June,7,0,Kanwal,Yeh Dosti,Regular,
111,Batwara,1980,1980s,Lead,Multi-starrer,Peak,Vijay Anand,Rekha,Sanjeev Kumar,Madan Mohan,Unknown,Action-Drama,Hit,1.5,171,4275.0,2.85,Hindi,7.0,168,March,7,0,Prem,Main Jat Yamla Pagla Deewana,Regular,
112,Khatron Ke Khiladi,1982,1980s,Lead,Solo,Peak,Vijay Anand,Mumtaz,Jeetendra,S.D. Burman,Rajshri Productions,Action-Drama,Hit,1.15,52,1300.0,0.87,Hindi,7.2,140,January,4,0,Baldev,Chupke Chupke Title,Regular,
113,Paap Ka Ant,1984,1980s,Lead,Solo,Peak,B.R. Chopra,Asha Parekh,Shatrughan Sinha,S.D. Burman,Yash Raj Films,Comedy,Flop,1.83,152,3800.0,2.53,Hindi,5.9,128,December,6,0,Prem,Holi Ke Din,Regular,
114,Watan Ke Rakhwale,1982,1980s,Lead,Solo,Peak,Raj Sippy,Asha Parekh,Vinod Khanna,Khayyam,Yash Raj Films,Action-Drama,Super Hit,2.01,135,3375.0,2.25,Hindi,7.2,125,May,5,0,Inspector,None,Regular,
115,Mardon Wali Baat,1980,1980s,Lead,Solo,Peak,Prakash Mehra,Zeenat Aman,Amitabh Bachchan,Ravi,Rajshri Productions,Drama,Hit,3.82,93,2325.0,1.55,Hindi,7.6,170,October,7,0,Veeru,Chupke Chupke Title,Regular,
116,Karishma Kudrat Kaa,1984,1980s,Lead,Solo,Peak,Ramesh Sippy,Zeenat Aman,Jeetendra,Khayyam,B.R. Films,Family,Hit,3.18,49,1225.0,0.82,Hindi,6.0,164,November,7,0,Vijay,Pal Pal Dil Ke Paas,Regular,
117,Hum Dono,1989,1980s,Lead,Multi-starrer,Late Peak,Arjun Hingorani,Rakhee,Bobby Deol,Kalyanji-Anandji,Deol Films,Comedy,Hit,3.59,67,1675.0,1.12,Hindi,6.1,154,April,4,0,Veeru,Dream Girl,Regular,
118,Agnee,1986,1980s,Character Artist,Solo,Late Peak,Prakash Mehra,Zeenat Aman,Raj Babbar,Khayyam,Deol Films,Thriller,Flop,3.88,67,1675.0,1.12,Hindi,7.7,158,July,8,0,Rakesh,Main Jat Yamla Pagla Deewana,Regular,
119,Samundar,1986,1980s,Lead,Solo,Late Peak,Hrishikesh Mukherjee,Hema Malini,Shatrughan Sinha,Madan Mohan,B.R. Films,Drama,Hit,0.93,109,2725.0,1.82,Hindi,6.0,141,June,5,0,Vijay,Dream Girl,Regular,
120,Insaaf Kaun Karega,1988,1980s,Lead,Solo,Late Peak,Raj Sippy,Rekha,Amitabh Bachchan,Unknown,Dharma Productions,Family,Average,3.3,107,2675.0,1.78,Hindi,7.5,160,October,6,0,Vijay,Koi Haseena Jab,Regular,
121,Insaniyat,1989,1980s,Lead,Solo,Late Peak,Prakash Mehra,Neetu Singh,Rajesh Khanna,Laxmikant-Pyarelal,Deol Films,Thriller,Hit,2.88,90,2250.0,1.5,Hindi,6.7,173,July,7,0,Veeru,Yeh Dosti,Regular,
122,Jeete Hain Shaan Se,1989,1980s,Lead,Multi-starrer,Late Peak,Ramesh Sippy,Mumtaz,Raj Babbar,Ravi,Yash Raj Films,Thriller,Flop,2.2,31,775.0,0.52,Hindi,6.1,124,May,7,0,Dharam,Koi Haseena Jab,Regular,
123,Sultanat,1982,1980s,Lead,Solo,Peak,Prakash Mehra,Asha Parekh,Sanjeev Kumar,Unknown,Prakash Mehra Productions,Thriller,Hit,1.25,31,775.0,0.52,Hindi,7.5,161,April,5,0,Raj,Yeh Dosti,Regular,
124,Aag Ka Toofan,1986,1980s,Lead,Solo,Late Peak,Hrishikesh Mukherjee,Rakhee,Jeetendra,Khayyam,B.R. Films,Family,Hit,3.86,23,575.0,0.38,Hindi,6.6,142,July,8,0,Inspector,Mehbooba Mehbooba,Regular,
125,Kali Basti,1980,1980s,Lead,Solo,Peak,Arjun Hingorani,Rakhee,Amitabh Bachchan,Laxmikant-Pyarelal,Sippy Films,Drama,Average,3.69,146,3650.0,2.43,Hindi,6.7,136,July,7,0,Veeru,Dream Girl,Regular,
126,Aurat Teri Yehi Kahani,1983,1980s,Lead,Multi-starrer,Peak,Manmohan Desai,Neetu Singh,Sunny Deol,S.D. Burman,Yash Raj Films,Thriller,Hit,1.83,53,1325.0,0.88,Hindi,6.4,131,June,5,0,Prem,Yeh Dosti,Regular,
127,Hum Se Na Takrana,1983,1980s,Lead,Solo,Peak,Anil Sharma,Rekha,Vinod Khanna,R.D. Burman,Prakash Mehra Productions,Thriller,Hit,4.16,107,2675.0,1.78,Hindi,6.9,142,August,4,0,Dharam,Jatt Yamla Pagla,Regular,
128,Insaniyat Ke Devta,1984,1980s,Lead,Solo,Peak,Arjun Hingorani,Mumtaz,Vinod Khanna,Laxmikant-Pyarelal,Prakash Mehra Productions,Romance,Super Hit,1.94,133,3325.0,2.22,Hindi,6.0,135,April,8,0,Prem,Chupke Chupke Title,Regular,
129,Aag Se Khelenge,1986,1980s,Lead,Solo,Late Peak,Unknown,Sharmila Tagore,Shatrughan Sinha,Madan Mohan,B.R. Films,Comedy,Flop,2.32,85,2125.0,1.42,Hindi,6.5,122,October,6,0,Raj,Yeh Dosti,Regular,
130,Khoon Ka Karz,1986,1980s,Character Artist,Solo,Late Peak,Prakash Mehra,Zeenat Aman,Rajesh Khanna,Madan Mohan,Prakash Mehra Productions,Family,Flop,4.65,84,2100.0,1.4,Hindi,7.7,149,May,7,0,Rakesh,Yeh Dosti,Regular,
131,Sone Pe Suhaaga,1983,1980s,Lead,Solo,Peak,Vijay Anand,Jaya Bhaduri,Shatrughan Sinha,Khayyam,B.R. Films,Family,Average,4.79,43,1075.0,0.72,Hindi,6.2,141,April,5,0,Baldev,Chupke Chupke Title,Regular,
132,Aag Ka Dariya,1986,1980s,Character Artist,Solo,Late Peak,B.R. Chopra,Rakhee,Sunny Deol,Kalyanji-Anandji,Deol Films,Action-Drama,Average,1.58,105,2625.0,1.75,Hindi,7.0,128,December,4,0,Raj,Dream Girl,Regular,
133,Kasam Paida Karne Wale Ki,1982,1980s,Lead,Multi-starrer,Peak,Vijay Anand,Zeenat Aman,Bobby Deol,Madan Mohan,Rajshri Productions,Family,Hit,4.47,43,1075.0,0.72,Hindi,6.3,148,January,6,0,Ram,Dream Girl,Regular,
134,Dharm Aur Qanoon,1985,1980s,Lead,Solo,Late Peak,Arjun Hingorani,Zeenat Aman,Rajesh Khanna,Madan Mohan,Yash Raj Films,Drama,Average,4.19,27,675.0,0.45,Hindi,7.3,166,December,5,0,Ajay,Chupke Chupke Title,Regular,
135,Insaaf Ki Pukar,1981,1980s,Lead,Multi-starrer,Peak,Vijay Anand,Hema Malini,None,Khayyam,Dharma Productions,Family,Super Hit,3.71,150,3750.0,2.5,Hindi,5.9,156,August,5,0,Dharam,Koi Haseena Jab,Regular,
136,Sher Dil,1989,1980s,Lead,Solo,Late Peak,Ramesh Sippy,Rekha,Bobby Deol,Laxmikant-Pyarelal,Rajshri Productions,Romance,Hit,1.85,75,1875.0,1.25,Hindi,7.7,142,January,6,0,Rakesh,Jatt Yamla Pagla,Regular,
137,Jaan Hatheli Pe,1988,1980s,Character Artist,Multi-starrer,Late Peak,Vijay Anand,Jaya Bhaduri,Rajesh Khanna,Kalyanji-Anandji,Yash Raj Films,Comedy,Average,1.73,17,425.0,0.28,Hindi,6.6,132,May,4,0,Ram,None,Regular,
138,Daulat Ke Dushman,1984,1980s,Lead,Solo,Peak,Raj Sippy,Sharmila Tagore,Rajesh Khanna,Unknown,B.R. Films,Comedy,Super Hit,4.77,137,3425.0,2.28,Hindi,6.1,151,June,4,0,Kanwal,Pal Pal Dil Ke Paas,Regular,
139,Loha (late),1985,1980s,Lead,Multi-starrer,Late Peak,Manmohan Desai,Asha Parekh,Sunny Deol,R.D. Burman,Yash Raj Films,Family,Average,3.76,20,500.0,0.33,Hindi,5.8,165,June,8,0,Rakesh,Jatt Yamla Pagla,Regular,
140,Ganga Tere Desh Mein,1983,1980s,Lead,Solo,Peak,Prakash Mehra,Hema Malini,Sanjeev Kumar,Ravi,Deol Films,Thriller,Average,1.56,85,2125.0,1.42,Hindi,6.0,171,May,7,0,Veeru,Dream Girl,Regular,
141,Farishtay (early),1989,1980s,Lead,Solo,Late Peak,Vijay Anand,Zeenat Aman,Sunny Deol,S.D. Burman,B.R. Films,Action,Hit,4.65,99,2475.0,1.65,Hindi,6.7,166,March,6,0,None,None,Regular,
142,Kaala Samrajya,1986,1980s,Character Artist,Solo,Late Peak,Hrishikesh Mukherjee,Zeenat Aman,Rajesh Khanna,Madan Mohan,Rajshri Productions,Action,Hit,3.73,113,2825.0,1.88,Hindi,6.3,167,May,6,0,Veeru,Mehbooba Mehbooba,Regular,
143,Raaj Tilak,1988,1980s,Lead,Multi-starrer,Late Peak,Manmohan Desai,Unknown,Amitabh Bachchan,Khayyam,Sippy Films,Thriller,Hit,4.68,61,1525.0,1.02,Hindi,7.4,142,December,6,0,Raj,Main Jat Yamla Pagla Deewana,Regular,
144,Taaqatwar,1986,1980s,Lead,Solo,Late Peak,Manmohan Desai,Jaya Bhaduri,Bobby Deol,Ravi,Sippy Films,Thriller,Average,4.77,45,1125.0,0.75,Hindi,6.5,164,August,4,0,Ajay,Yeh Dosti,Regular,
145,Zakhmi Sher,1980,1980s,Lead,Multi-starrer,Peak,Vijay Anand,Jaya Bhaduri,Sunny Deol,S.D. Burman,Unknown,Thriller,Flop,4.42,78,1950.0,1.3,Hindi,6.1,136,February,7,0,Rakesh,Chupke Chupke Title,Regular,
146,Qayamat,1980,1980s,Lead,Multi-starrer,Peak,Manmohan Desai,Unknown,Sanjeev Kumar,S.D. Burman,Unknown,Drama,Super Hit,2.14,168,4200.0,2.8,Hindi,7.0,174,June,8,0,Inspector,Chupke Chupke Title,Regular,
147,Aag Aur Shola,1988,1980s,Character Artist,Solo,Late Peak,B.R. Chopra,Jaya Bhaduri,Jeetendra,Unknown,Yash Raj Films,Action,Flop,0.96,88,2200.0,1.47,Hindi,7.2,159,September,5,0,Shankar,Yeh Dosti,Regular,
148,Paapi Peet Ka,1988,1980s,Character Artist,Solo,Late Peak,Vijay Anand,Zeenat Aman,Shatrughan Sinha,Unknown,Sippy Films,Thriller,Flop,1.77,90,2250.0,1.5,Hindi,6.0,140,August,5,0,Baldev,Main Jat Yamla Pagla Deewana,Regular,
149,Ghar Ka Chirag,1983,1980s,Lead,Solo,Peak,Ramesh Sippy,Rakhee,Rajesh Khanna,Unknown,B.R. Films,Drama,Hit,1.12,141,3525.0,2.35,Hindi,6.0,121,November,6,0,Raj,Pal Pal Dil Ke Paas,Regular,
150,Aandhi Toofan,1988,1980s,Lead,Multi-starrer,Late Peak,Arjun Hingorani,Mumtaz,None,Salil Chowdhury,Prakash Mehra Productions,Action-Drama,Hit,2.23,104,2600.0,1.73,Hindi,5.7,156,August,7,0,Veeru,Main Jat Yamla Pagla Deewana,Regular,
151,Kasam Suhaag Ki,1982,1980s,Lead,Solo,Peak,Raj Sippy,Zeenat Aman,Jeetendra,Salil Chowdhury,B.R. Films,Drama,Hit,1.07,84,2100.0,1.4,Hindi,7.2,125,August,4,0,Ajay,None,Regular,
152,Saazish,1986,1980s,Lead,Multi-starrer,Late Peak,Anil Sharma,Hema Malini,Vinod Khanna,S.D. Burman,Prakash Mehra Productions,Action,Hit,3.07,55,1375.0,0.92,Hindi,7.1,163,July,7,0,Baldev,Main Jat Yamla Pagla Deewana,Regular,
153,Rajput (late),1985,1980s,Lead,Solo,Late Peak,Unknown,Rekha,Raj Babbar,Unknown,Rajshri Productions,Family,Average,2.14,77,1925.0,1.28,Hindi,6.6,137,August,7,0,Rakesh,None,Regular,
154,Do Pal,1987,1980s,Lead,Solo,Late Peak,Manmohan Desai,Unknown,Sanjeev Kumar,Madan Mohan,Dharma Productions,Action-Drama,Hit,4.52,98,2450.0,1.63,Hindi,7.5,149,June,4,0,Inspector,Main Jat Yamla Pagla Deewana,Regular,
155,Aakhri Adalat,1988,1980s,Lead,Solo,Late Peak,Ramesh Sippy,Sharmila Tagore,None,Ravi,Prakash Mehra Productions,Action,Hit,1.78,27,675.0,0.45,Hindi,7.4,141,February,6,0,Rakesh,Pal Pal Dil Ke Paas,Regular,
156,Jurmana,1984,1980s,Lead,Solo,Peak,Prakash Mehra,Asha Parekh,Raj Babbar,Ravi,Sippy Films,Drama,Flop,4.45,158,3950.0,2.63,Hindi,6.9,173,February,7,0,Vijay,Pal Pal Dil Ke Paas,Regular,
157,Qurbani Ka Daag,1980,1980s,Lead,Solo,Peak,Prakash Mehra,Sharmila Tagore,Sanjeev Kumar,Salil Chowdhury,B.R. Films,Romance,Flop,4.47,71,1775.0,1.18,Hindi,7.5,152,August,5,0,Ajay,Dream Girl,Regular,
158,Gaddar,1982,1980s,Lead,Multi-starrer,Peak,Unknown,Zeenat Aman,Amitabh Bachchan,S.D. Burman,Rajshri Productions,Comedy,Flop,4.74,34,850.0,0.57,Hindi,6.1,149,November,4,0,Ram,Yeh Dosti,Regular,
159,Hukumat,1989,1980s,Character Artist,Solo,Late Peak,Raj Sippy,Hema Malini,Shatrughan Sinha,Khayyam,Sippy Films,Action,Blockbuster,4.99,350,8750.0,5.83,Hindi,5.8,136,January,8,0,Veeru,Pal Pal Dil Ke Paas,Regular,
160,Elaan-E-Jung,1987,1980s,Character Artist,Solo,Late Peak,Manmohan Desai,Zeenat Aman,Jeetendra,Laxmikant-Pyarelal,Rajshri Productions,Thriller,Hit,4.02,47,1175.0,0.78,Hindi,6.2,162,June,6,0,Inspector,None,Regular,
161,Phool Aur Kaante,1995,1990s,Character Artist,Ensemble,Character Artist,B.R. Chopra,Rekha,Bobby Deol,Laxmikant-Pyarelal,Dharma Productions,Drama,Blockbuster,5.58,280,2240.0,8.0,Hindi,5.7,151,June,4,0,Shankar,Pal Pal Dil Ke Paas,Regular,
162,Kshatriya,1997,1990s,Lead,Ensemble,Character Artist,Unknown,Rakhee,Sanjeev Kumar,Salil Chowdhury,Deol Films,Thriller,Flop,8.93,25,200.0,0.71,Hindi,6.8,161,November,8,0,Rakesh,Dream Girl,Regular,
163,Tahalka,1998,1990s,Lead,Multi-starrer,Character Artist,Raj Sippy,Asha Parekh,Bobby Deol,Khayyam,B.R. Films,Thriller,Average,8.03,100,800.0,2.86,Hindi,7.7,170,April,8,0,Shankar,Chupke Chupke Title,Regular,
164,Farishtay,1993,1990s,Character Artist,Ensemble,Late Peak,Manmohan Desai,Rekha,Shatrughan Sinha,Salil Chowdhury,Yash Raj Films,Thriller,Average,5.08,47,376.0,1.34,Hindi,5.7,133,December,7,0,Rakesh,None,Regular,
165,Dil Hi To Hai,1990,1990s,Lead,Multi-starrer,Late Peak,Ramesh Sippy,Unknown,Rajesh Khanna,Laxmikant-Pyarelal,B.R. Films,Thriller,Average,3.53,15,120.0,0.43,Hindi,5.9,129,November,7,0,Veeru,Dream Girl,Regular,
166,Kasam,1990,1990s,Lead,Multi-starrer,Late Peak,Arjun Hingorani,Unknown,Vinod Khanna,Khayyam,Unknown,Thriller,Hit,4.51,106,848.0,3.03,Hindi,6.6,166,November,7,0,Baldev,Koi Haseena Jab,Regular,
167,Krodh,1999,1990s,Character Artist,Multi-starrer,Character Artist,B.R. Chopra,Zeenat Aman,Jeetendra,Unknown,Dharma Productions,Action-Drama,Flop,4.02,116,928.0,3.31,Hindi,7.7,170,October,4,0,Raja,Koi Haseena Jab,Regular,
168,Dil Kya Kare,1993,1990s,Character Artist,Multi-starrer,Late Peak,Anil Sharma,Hema Malini,Shatrughan Sinha,S.D. Burman,B.R. Films,Action,Average,1.86,67,536.0,1.91,Hindi,6.3,155,March,4,0,Baldev,Mehbooba Mehbooba,Regular,
169,Pyaar Koi Khel Nahin,1996,1990s,Character Artist,Multi-starrer,Character Artist,Prakash Mehra,Rekha,Shatrughan Sinha,Ravi,Unknown,Action,Flop,9.9,31,248.0,0.89,Hindi,6.7,153,November,6,0,Rakesh,Main Jat Yamla Pagla Deewana,Regular,
170,Izzat Ki Roti,1991,1990s,Lead,Ensemble,Late Peak,Hrishikesh Mukherjee,Neetu Singh,Amitabh Bachchan,Kalyanji-Anandji,Yash Raj Films,Comedy,Hit,4.77,15,120.0,0.43,Hindi,5.7,128,March,7,0,Prem,Yeh Dosti,Regular,
171,Aag,1992,1990s,Character Artist,Ensemble,Late Peak,Ramesh Sippy,Hema Malini,Raj Babbar,S.D. Burman,Prakash Mehra Productions,Drama,Average,3.36,76,608.0,2.17,Hindi,5.9,161,January,8,0,None,Holi Ke Din,Regular,
172,Yodha,1990,1990s,Character Artist,Multi-starrer,Late Peak,Prakash Mehra,Rakhee,Vinod Khanna,Unknown,Rajshri Productions,Romance,Flop,8.18,48,384.0,1.37,Hindi,7.8,147,March,5,0,Singh,Jatt Yamla Pagla,Regular,
173,Krantiveer,1994,1990s,Lead,Ensemble,Late Peak,Vijay Anand,Unknown,Jeetendra,Laxmikant-Pyarelal,Yash Raj Films,Action-Drama,Hit,5.05,40,320.0,1.14,Hindi,7.7,130,April,6,0,Raja,Dream Girl,Regular,
174,Raja Babu,1990,1990s,Lead,Multi-starrer,Late Peak,Hrishikesh Mukherjee,Zeenat Aman,Rajesh Khanna,Unknown,Sippy Films,Drama,Average,9.53,17,136.0,0.49,Hindi,5.6,133,November,4,0,Ram,Chupke Chupke Title,Regular,
175,Suraksha,1997,1990s,Lead,Multi-starrer,Character Artist,Prakash Mehra,Jaya Bhaduri,Rajesh Khanna,Salil Chowdhury,Dharma Productions,Action-Drama,Flop,6.71,68,544.0,1.94,Hindi,7.7,158,November,6,0,Raja,Jatt Yamla Pagla,Regular,
176,Policewala Gunda,1990,1990s,Character Artist,Multi-starrer,Late Peak,Raj Sippy,Unknown,Sunny Deol,Khayyam,Prakash Mehra Productions,Action,Hit,9.92,71,568.0,2.03,Hindi,7.0,174,May,6,0,None,Chupke Chupke Title,Regular,
177,Yaraana,1990,1990s,Lead,Ensemble,Late Peak,B.R. Chopra,Asha Parekh,Shatrughan Sinha,Ravi,Sippy Films,Thriller,Average,9.51,37,296.0,1.06,Hindi,7.5,166,March,6,0,Shankar,Jatt Yamla Pagla,Regular,
178,Ghatak,1991,1990s,Character Artist,Multi-starrer,Late Peak,Prakash Mehra,Mumtaz,Sanjeev Kumar,Madan Mohan,Sippy Films,Comedy,Average,6.67,80,640.0,2.29,Hindi,6.6,173,June,6,0,Ajay,Dream Girl,Regular,
179,Pyaar Kiya To Darna Kya,1991,1990s,Character Artist,Multi-starrer,Late Peak,Anil Sharma,Jaya Bhaduri,Amitabh Bachchan,Salil Chowdhury,Dharma Productions,Comedy,Flop,3.46,78,624.0,2.23,Hindi,6.7,138,November,5,0,Shankar,Holi Ke Din,Regular,
180,Pyaar Ishq Aur Mohabbat,1995,1990s,Lead,Multi-starrer,Character Artist,Arjun Hingorani,Zeenat Aman,Vinod Khanna,S.D. Burman,Prakash Mehra Productions,Family,Average,3.37,112,896.0,3.2,Hindi,6.7,173,December,7,0,Raj,Jatt Yamla Pagla,Regular,
181,Dillagi,1996,1990s,Lead,Multi-starrer,Character Artist,Raj Sippy,Neetu Singh,Rajesh Khanna,Salil Chowdhury,Deol Films,Romance,Average,8.13,65,520.0,1.86,Hindi,7.1,134,May,8,0,Shankar,Dream Girl,Regular,
182,Lal Badshah,1994,1990s,Character Artist,Ensemble,Late Peak,Ramesh Sippy,Jaya Bhaduri,Jeetendra,S.D. Burman,Sippy Films,Comedy,Hit,1.99,52,416.0,1.49,Hindi,5.9,147,March,6,0,Ram,Pal Pal Dil Ke Paas,Regular,
183,Itihaas,1990,1990s,Lead,Ensemble,Late Peak,Ramesh Sippy,Asha Parekh,Sunny Deol,Madan Mohan,Sippy Films,Thriller,Flop,9.01,44,352.0,1.26,Hindi,5.7,143,June,6,0,Prem,Holi Ke Din,Regular,
184,Ziddi,1990,1990s,Lead,Multi-starrer,Late Peak,Ramesh Sippy,Hema Malini,Jeetendra,R.D. Burman,Prakash Mehra Productions,Action,Flop,9.96,19,152.0,0.54,Hindi,6.3,127,June,6,0,Baldev,None,Regular,
185,Kareeb,1992,1990s,Character Artist,Ensemble,Late Peak,Ramesh Sippy,Neetu Singh,Amitabh Bachchan,Ravi,B.R. Films,Romance,Average,4.87,31,248.0,0.89,Hindi,7.2,162,August,7,0,Baldev,Chupke Chupke Title,Regular,
186,Pardesi Babu,1991,1990s,Lead,Multi-starrer,Late Peak,Arjun Hingorani,Unknown,Sanjeev Kumar,Kalyanji-Anandji,Sippy Films,Drama,Hit,7.42,102,816.0,2.91,Hindi,6.0,128,February,4,0,Singh,Koi Haseena Jab,Regular,
187,Salaakhen,1994,1990s,Lead,Multi-starrer,Late Peak,Prakash Mehra,Neetu Singh,Sunny Deol,Unknown,Rajshri Productions,Thriller,Average,8.43,80,640.0,2.29,Hindi,7.1,166,January,4,0,Kanwal,Main Jat Yamla Pagla Deewana,Regular,
188,Angaara,1999,1990s,Lead,Multi-starrer,Character Artist,Manmohan Desai,Rekha,Sunny Deol,R.D. Burman,Prakash Mehra Productions,Thriller,Average,3.4,89,712.0,2.54,Hindi,7.7,152,April,5,0,Rakesh,Koi Haseena Jab,Regular,
189,Kartoos,1995,1990s,Lead,Multi-starrer,Character Artist,Prakash Mehra,Asha Parekh,Raj Babbar,Salil Chowdhury,Sippy Films,Comedy,Hit,6.54,69,552.0,1.97,Hindi,5.8,152,July,4,0,Prem,Holi Ke Din,Regular,
190,Kaala Samrajya (1990s),1996,1990s,Lead,Ensemble,Character Artist,Vijay Anand,Jaya Bhaduri,Vinod Khanna,Unknown,Dharma Productions,Romance,Average,2.28,30,240.0,0.86,Hindi,7.1,138,November,6,0,Kanwal,None,Regular,
191,Lootere,1993,1990s,Lead,Multi-starrer,Late Peak,B.R. Chopra,Rekha,Sunny Deol,R.D. Burman,Yash Raj Films,Action,Hit,3.76,70,560.0,2.0,Hindi,6.6,122,October,6,0,None,Chupke Chupke Title,Regular,
192,Sainik,1996,1990s,Lead,Ensemble,Character Artist,Hrishikesh Mukherjee,Neetu Singh,Raj Babbar,Khayyam,Rajshri Productions,Family,Flop,9.05,41,328.0,1.17,Hindi,7.5,129,March,6,0,Raj,None,Regular,
193,Parampara,1997,1990s,Lead,Ensemble,Character Artist,Manmohan Desai,Rekha,Raj Babbar,Khayyam,Unknown,Action-Drama,Hit,8.83,65,520.0,1.86,Hindi,6.0,159,March,5,0,Veeru,Jatt Yamla Pagla,Regular,
194,Amaanat,1990,1990s,Lead,Multi-starrer,Late Peak,Manmohan Desai,Sharmila Tagore,Amitabh Bachchan,Unknown,Unknown,Action-Drama,Hit,7.07,106,848.0,3.03,Hindi,7.1,166,May,6,0,None,Chupke Chupke Title,Regular,
195,Kartavya,1995,1990s,Lead,Multi-starrer,Character Artist,Prakash Mehra,Asha Parekh,Bobby Deol,S.D. Burman,Yash Raj Films,Action,Hit,2.24,84,672.0,2.4,Hindi,7.4,161,May,4,0,Rakesh,Jatt Yamla Pagla,Regular,
196,Himmat,1997,1990s,Lead,Multi-starrer,Character Artist,Manmohan Desai,Rakhee,Jeetendra,S.D. Burman,Unknown,Action,Average,4.67,104,832.0,2.97,Hindi,7.7,120,October,7,0,Rakesh,Dream Girl,Regular,
197,Aag Ka Gola (1990s),1994,1990s,Character Artist,Multi-starrer,Late Peak,Unknown,Hema Malini,Sanjeev Kumar,Salil Chowdhury,Yash Raj Films,Action-Drama,Hit,7.65,104,832.0,2.97,Hindi,7.1,148,March,7,0,Vijay,Holi Ke Din,Regular,
198,Aayi Milan Ki Raat,1993,1990s,Lead,Multi-starrer,Late Peak,Unknown,Neetu Singh,None,R.D. Burman,Sippy Films,Family,Hit,2.19,61,488.0,1.74,Hindi,6.7,169,September,8,0,Vijay,Dream Girl,Regular,
199,Ek Tha Raja,1991,1990s,Lead,Multi-starrer,Late Peak,Vijay Anand,Asha Parekh,Jeetendra,R.D. Burman,Rajshri Productions,Romance,Hit,7.31,108,864.0,3.09,Hindi,7.0,153,April,4,0,Dharam,Mehbooba Mehbooba,Regular,
200,Ek Thi Rani,1995,1990s,Lead,Multi-starrer,Character Artist,Hrishikesh Mukherjee,Rakhee,Sunny Deol,Unknown,Rajshri Productions,Action-Drama,Average,8.74,95,760.0,2.71,Hindi,7.5,170,March,6,0,None,None,Regular,
201,Kaala Dil,1995,1990s,Lead,Multi-starrer,Character Artist,Anil Sharma,Rakhee,Sanjeev Kumar,Laxmikant-Pyarelal,B.R. Films,Action,Flop,5.58,113,904.0,3.23,Hindi,6.9,132,November,7,0,Dharam,Jatt Yamla Pagla,Regular,
202,Mahaanta,1990,1990s,Lead,Multi-starrer,Late Peak,Arjun Hingorani,Zeenat Aman,Rajesh Khanna,Khayyam,Yash Raj Films,Comedy,Hit,8.51,70,560.0,2.0,Hindi,5.7,173,February,4,0,Shankar,Pal Pal Dil Ke Paas,Regular,
